	level_1	AUC
587	Cross-validation	0.6299603174603174
588	Cross-validation	0.654431216931217
589	Cross-validation	0.6352513227513228
590	Cross-validation	0.7397039897039897
591	Cross-validation	0.7590090090090091
592	Cross-validation	0.6888227513227513
593	Cross-validation	0.7430555555555556
594	Cross-validation	0.7923280423280423
595	Cross-validation	0.7152509652509652
596	Cross-validation	0.7023809523809523
597	Cross-validation	0.6468253968253969
598	Cross-validation	0.718584656084656
599	Cross-validation	0.6636904761904762
600	Cross-validation	0.6190476190476191
601	Cross-validation	0.7577220077220077
602	Cross-validation	0.7437169312169313
603	Cross-validation	0.6633597883597884
604	Cross-validation	0.7314814814814815
605	Cross-validation	0.7596525096525097
606	Cross-validation	0.7078507078507079
607	Cross-validation	0.5952380952380953
608	Cross-validation	0.6441798941798942
609	Cross-validation	0.6765873015873016
610	Cross-validation	0.6476833976833978
611	Cross-validation	0.7091377091377091
612	Cross-validation	0.6673280423280423
613	Cross-validation	0.6342592592592592
614	Cross-validation	0.7056878306878308
615	Cross-validation	0.7046332046332048
616	Cross-validation	0.6158301158301158
617	Cross-validation	0.609457671957672
618	Cross-validation	0.7208994708994709
619	Cross-validation	0.6812169312169312
620	Cross-validation	0.7055984555984556
621	Cross-validation	0.7406692406692407
622	Cross-validation	0.7367724867724869
623	Cross-validation	0.6841931216931217
624	Cross-validation	0.628968253968254
625	Cross-validation	0.711068211068211
626	Cross-validation	0.702059202059202
627	Cross-validation	0.6084656084656084
628	Cross-validation	0.701058201058201
629	Cross-validation	0.7473544973544974
630	Cross-validation	0.6708494208494208
631	Cross-validation	0.646074646074646
632	Cross-validation	0.7020502645502645
633	Cross-validation	0.7080026455026454
634	Cross-validation	0.7166005291005291
635	Cross-validation	0.7561132561132562
636	Cross-validation	0.71010296010296
637	Cross-validation	0.7235449735449735
638	Cross-validation	0.6696428571428572
639	Cross-validation	0.6825396825396826
640	Cross-validation	0.7197554697554698
641	Cross-validation	0.5949163449163449
642	Cross-validation	0.7033730158730159
643	Cross-validation	0.582010582010582
644	Cross-validation	0.7741402116402117
645	Cross-validation	0.712998712998713
646	Cross-validation	0.6660231660231659
647	Cross-validation	0.7281746031746033
648	Cross-validation	0.7142857142857142
649	Cross-validation	0.6742724867724869
650	Cross-validation	0.7175032175032175
651	Cross-validation	0.6898326898326899
652	Cross-validation	0.6319444444444445
653	Cross-validation	0.7136243386243386
654	Cross-validation	0.6802248677248678
655	Cross-validation	0.7010939510939511
656	Cross-validation	0.6470398970398972
657	Cross-validation	0.7119708994708994
658	Cross-validation	0.7063492063492063
659	Cross-validation	0.7536375661375662
660	Cross-validation	0.694980694980695
661	Cross-validation	0.7451737451737452
662	Cross-validation	0.7139550264550265
663	Cross-validation	0.6719576719576721
664	Cross-validation	0.7397486772486772
665	Cross-validation	0.7043114543114544
666	Cross-validation	0.6261261261261262
667	Cross-validation	0.75
668	Cross-validation	0.7847222222222222
669	Cross-validation	0.7043650793650793
670	Cross-validation	0.7046332046332047
671	Cross-validation	0.6534749034749036
672	Cross-validation	0.6884920634920635
673	Cross-validation	0.7238756613756613
674	Cross-validation	0.7175925925925926
675	Cross-validation	0.7014157014157014
676	Cross-validation	0.6792149292149292
677	Cross-validation	0.6283068783068784
678	Cross-validation	0.6309523809523809
679	Cross-validation	0.7506613756613758
680	Cross-validation	0.685006435006435
681	Cross-validation	0.7239382239382238
682	Cross-validation	0.7777777777777778
683	Cross-validation	0.6884920634920636
684	Cross-validation	0.6593915343915344
